fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority,address_extended
342708,King Of The Road,"Hospital Street, Aston, Birmingham",B19 2XU,622675,-5527598.0,52.4909097,-1.9015904,Birmingham,"Hospital Street, Aston, Birmingham, B19 2XU, Birmingham"
343051,Longbridge Beefeater,"2 College Street, Longbridge, Birmingham",B31 2US,622675,-5527598.0,52.3956874,-1.9853498,Birmingham,"2 College Street, Longbridge, Birmingham, B31 2US, Birmingham"
345320,The Cambridge,"The Cambridge, 6 College Street, Longbridge, Birmingham",B31 2US,622675,-5527598.0,52.3950871,-1.985174,Birmingham,"The Cambridge, 6 College Street, Longbridge, Birmingham, B31 2US, Birmingham"
347093,Hednesford Bingo Club,"Hednesford Bingo Club, Chase Gateway, Victoria Street, Cannock",WS12 1DU,622675,-5527598.0,,,Cannock Chase,"Hednesford Bingo Club, Chase Gateway, Victoria Street, Cannock, WS12 1DU, Cannock Chase"
365271,Shirley Royal British Legion Club Limited,"The Royal British Legion, Parkgate Stratford Road, Shirley, Solihull, West Midlands",B90 3GG,622675,-5527598.0,,,Solihull,"The Royal British Legion, Parkgate Stratford Road, Shirley, Solihull, West Midlands, B90 3GG, Solihull"
365486,The Pump House,"Unit 1, Parkgate, Stratford Road, Shirley, Solihull",B90 3GG,622675,-5527598.0,,,Solihull,"Unit 1, Parkgate, Stratford Road, Shirley, Solihull, B90 3GG, Solihull"
380324,Dearne Valley Farm,"Unit 8, Kestrel Way, Birdwell",S70 5SZ,622675,-5527598.0,53.5023236,-1.4732391,Barnsley,"Unit 8, Kestrel Way, Birdwell, S70 5SZ, Barnsley"
384109,Off The Tap (Bar only),"12 Five Rise Shopping Centre, Burrage Street, Bingley",BD16 1GH,622675,-5527598.0,,,Bradford,"12 Five Rise Shopping Centre, Burrage Street, Bingley, BD16 1GH, Bradford"
391079,The House Martin,"Milestone Drive, Wheatley, Doncaster",DN2 4BG,622675,-5527598.0,53.5410689,-1.107617,Doncaster,"Milestone Drive, Wheatley, Doncaster, DN2 4BG, Doncaster"
393378,Sand le Mere Caravan and Chalet Park,"Southfield Lane, Tunstall, Hull",HU12 0JN,622675,-5527598.0,,,East Riding of Yorkshire,"Southfield Lane, Tunstall, Hull, HU12 0JN, East Riding of Yorkshire"
400045,Heathfield Farm,"2 Heathfield Lane, Birkenshaw, Bradford",BD11 2DP,622675,-5527598.0,,,Kirklees,"2 Heathfield Lane, Birkenshaw, Bradford, BD11 2DP, Kirklees"
407584,Beechwood Farm,"Village Way, Grimsby",DN37 9UA,622675,-5527598.0,53.5569811,-0.1082982,North East Lincolnshire,"Village Way, Grimsby, DN37 9UA, North East Lincolnshire"
421282,The Ruddy Duck,"Bridge Street, Wakefield",WF1 5RT,622675,-5527598.0,53.6747176,-1.4900627,Wakefield,"Bridge Street, Wakefield, WF1 5RT, Wakefield"
452075,La Belle Angele,"11 Hastie's Close, Edinburgh",EH1 1HJ,622675,-5527598.0,55.9483771,-3.187389,City of Edinburgh,"11 Hastie's Close, Edinburgh, EH1 1HJ, City of Edinburgh"
476592,Linwood Farm,"1 Hillhead Drive, Paisley, Renfrewshire",PA3 3FE,622675,-5527598.0,,,Renfrewshire,"1 Hillhead Drive, Paisley, Renfrewshire, PA3 3FE, Renfrewshire"
503975,The Llanwern Bull,The Llanwern Bull Kings Wall Drive Newport South Wales,NP19 4TZ,622675,-5527598.0,,,Newport,"The Llanwern Bull Kings Wall Drive Newport South Wales, NP19 4TZ, Newport"
511099,Mary Dillwyn,"Ffordd Cynore, Fforestfach",SA5 4BE,622675,-5527598.0,,,Swansea,"Ffordd Cynore, Fforestfach, SA5 4BE, Swansea"
